facility_id,facility_name,reporting_entity,state,facility_type,installed_capacity_mw,latitude,longitude,timestamp,power_mw,emissions_t_co2e,received_at
506,Bannerton Solar Farm,KIAMCO HANWHA FORESIGHT BANNERTON PTY LTD,VIC,solar,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
514,Longreach Solar Farm,LONGREACH NEW HOLDCO PTY LTD,QLD,solar,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
516,Murra Warra Wind Farm,MURRA WARRA PROJECT CO PTY LTD,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,260.38,0.0,2026-05-29 00:47:43.619987
517,BULGANA GREEN POWER HUB,NEOEN AUSTRALIA PTY. LTD.,VIC,other,579.1320000000001,-37.0381632,142.9835582,2026-05-07 23:55:00,23.9497,0.0,2026-05-29 00:47:43.619987
521,Granville Harbour Wind Farm,PALISADE GRANVILLE HARBOUR INVESTMENTS PTY LTD,TAS,wind_farm,0.479,-42.035067,146.6366887,2026-05-07 23:55:00,106.89,0.0,2026-05-29 00:47:43.619987
522,Yarranlea Solar Farm,RISEN ENERGY (AUSTRALIA) PTY LTD,QLD,solar,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
524,Clermont Solar Farm,WEL 1 PTY LTD,QLD,solar,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
525,Wemen Solar Farm,WEL 1 PTY LTD,VIC,solar,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
527,Wild Cattle Hill Wind Farm,WILD CATTLE HILL PTY LTD,TAS,wind_farm,0.479,-42.035067,146.6366887,2026-05-07 23:55:00,140.1602,0.0,2026-05-29 00:47:43.619987
531,Darlington Point Solar Farm Pty Ltd,EDIFY ENERGY PTY. LTD.,NSW,company_entity,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.003,0.0,2026-05-29 00:47:43.619987
533,Glenrowan West Solar Farm,GLENROWAN SUN FARM PTY LTD,VIC,solar,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
534,Berrybank Wind farm,GLOBAL POWER GENERATION AUSTRALIA PTY LTD,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,258.1278,0.0,2026-05-29 00:47:43.619987
535,Goonumbla Solar Farm,GOONUMBLA HOLDINGS CO PTY. LTD.,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
536,Bango Wind Farm,GRAND BARGAIN HOLDCO PTY LTD,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,172.29489999999998,0.0,2026-05-29 00:47:43.619987
537,Boco Rock Wind Farm,GRAND BARGAIN HOLDCO PTY LTD,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,93.01,0.0,2026-05-29 00:47:43.619987
538,Sapphire Wind Farm,GRAND BARGAIN HOLDCO PTY LTD,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,54.3694,0.0,2026-05-29 00:47:43.619987
539,Cherry Tree Wind Farm,INFIGEN ENERGY LIMITED,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,3.05,0.0,2026-05-29 00:47:43.619987
543,Wellington Solar Farm,LS AUSTRALIA HOLDCO1 PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
554,Collector Wind Farm,RATCH - AUSTRALIA CORPORATION PTY LTD,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,194.1711,0.0,2026-05-29 00:47:43.619987
555,Mount Emerald Wind Farm,RATCH - AUSTRALIA CORPORATION PTY LTD,QLD,wind_farm,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,132.1124,0.0,2026-05-29 00:47:43.619987
558,Limondale Solar Farm,RWE RENEWABLES AUSTRALIA PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
561,Bomen Solar Farm,SPARK INFRASTRUCTURE HOLDINGS NO. 1 PTY LIMITED,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
562,Sunraysia Solar Farm,SUNRAYSIA SOLAR FARM HOLDINGS PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
564,Warwick Solar Farm,THE UNIVERSITY OF QUEENSLAND,QLD,solar,478.4090000000001,-28.1815683,152.0732657,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
567,YATPOOL SOLAR FARM,YATPOOL SOLAR FARM HOLDCO PTY LTD,VIC,solar,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
568,Hillston Sun Farm,AMP AUSTRALIA HOLDINGS PTY LTD,NSW,other,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
